date,stay,start_time,end_time,break,midnight_break
2015-12-01,,,,,
2015-12-02,8:45:00,2015-12-02 11:15:00,2015-12-02 20:00:00,1:00:00,0:00:00
2015-12-03,9:00:00,2015-12-03 11:00:00,2015-12-03 20:00:00,1:00:00,0:00:00
2015-12-04,,,,,
2015-12-05,,,,,
2015-12-06,,,,,
2015-12-07,,,,,
2015-12-08,,,,,
2015-12-09,6:30:00,2015-12-09 11:00:00,2015-12-09 17:30:00,0:45:00,0:00:00
2015-12-10,9:00:00,2015-12-10 11:00:00,2015-12-10 20:00:00,1:00:00,0:00:00
2015-12-11,,,,,
2015-12-12,,,,,
2015-12-13,,,,,
2015-12-14,,,,,
2015-12-15,,,,,
2015-12-16,,,,,
2015-12-17,7:30:00,2015-12-17 12:30:00,2015-12-17 20:00:00,1:00:00,0:00:00
2015-12-18,,,,,
2015-12-19,,,,,
2015-12-20,,,,,
2015-12-21,,,,,
2015-12-22,,,,,
2015-12-23,,,,,
2015-12-24,9:00:00,2015-12-24 11:15:00,2015-12-24 20:15:00,1:00:00,0:00:00
2015-12-25,,,,,
2015-12-26,,,,,
2015-12-27,,,,,
2015-12-28,,,,,
2015-12-29,,,,,
2015-12-30,,,,,
2015-12-31,,,,,
